Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    6.7314996338e+02,
    5.3504031897e-01,    6.7436706543e+02,
    1.0350402594e+00,    6.7860174561e+02,
    1.5350402594e+00,    6.8467114258e+02,
    2.0350401402e+00,    6.9172210693e+02,
    2.5350401402e+00,    6.9931787109e+02,
    3.0350401402e+00,    7.0725567627e+02,
    3.5350401402e+00,    7.1543896484e+02,
    4.0350399017e+00,    7.2382806396e+02,
    4.5350399017e+00,    7.3241290283e+02,
    5.0350399017e+00,    7.4120330811e+02,
    5.5350399017e+00,    7.5021496582e+02,
    6.0350399017e+00,    7.5946209717e+02,
    6.5350399017e+00,    7.6900878906e+02,
    7.0350399017e+00,    7.7889770508e+02,
    7.5350399017e+00,    7.8922729492e+02,
    8.0350399017e+00,    8.0006536865e+02,
    8.5350399017e+00,    8.1150457764e+02,
    9.0350399017e+00,    8.2382733154e+02,
    9.5350399017e+00,    8.3729974365e+02,
    1.0035039902e+01,    8.5188134766e+02,
    1.0535039902e+01,    8.6857141113e+02,
    1.1035039902e+01,    8.8576446533e+02,
    1.1535039902e+01,    9.0621704102e+02,
    1.2035039902e+01,    9.2194897461e+02,
    1.2535039902e+01,    9.3353765869e+02,
    1.3035039902e+01,    9.3860058594e+02,
    1.3535039902e+01,    9.3731805420e+02,
    1.4035039902e+01,    9.3242803955e+02,
    1.4535039902e+01,    9.3003137207e+02,
    1.5035039902e+01,    9.2676849365e+02,
    1.5535039902e+01,    9.2658050537e+02,
    1.6035039902e+01,    9.2664508057e+02,
    1.6535039902e+01,    9.2830950928e+02,
    1.7035039902e+01,    9.3034210205e+02,
    1.7535039902e+01,    9.3329656982e+02,
    1.8035039902e+01,    9.3647589111e+02,
    1.8535039902e+01,    9.4016296387e+02,
    1.9035039902e+01,    9.4411724854e+02,
    1.9535039902e+01,    9.4831909180e+02,
    2.0035039902e+01,    9.5271545410e+02,
    2.0535039902e+01,    9.5726330566e+02,
    2.1035039902e+01,    9.6197497559e+02,
    2.1535039902e+01,    9.6680670166e+02,
    2.2035039902e+01,    9.7178094482e+02,
    2.2535039902e+01,    9.7685552979e+02,
    2.3035039902e+01,    9.8200280762e+02,
    2.3535039902e+01,    9.8720568848e+02,
    2.4035039902e+01,    9.9246295166e+02,
    2.4509605408e+01,    9.9701678467e+02,
    2.5009605408e+01,    9.9995495605e+02,
    2.5509605408e+01,    1.0012814331e+03,
    2.6009605408e+01,    1.0017756348e+03,
    2.6509605408e+01,    1.0018327637e+03,
    2.7009605408e+01,    1.0016625366e+03,
    2.7509605408e+01,    1.0013745117e+03,
    2.8009605408e+01,    1.0010252075e+03,
    2.8509605408e+01,    1.0006437378e+03,
    2.9009605408e+01,    1.0002453003e+03,
    2.9509605408e+01,    9.9983764648e+02,
    3.0000000000e+01,    9.9943310547e+02,
