Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    2.9314999390e+02,
    4.2946070433e-01,    3.7045291138e+02,
    6.8064934015e-01,    4.1566687012e+02,
    1.0787564516e+00,    4.7314999390e+02,
    1.7097138166e+00,    4.3701773071e+02,
    2.4109582901e+00,    4.2653720093e+02,
    2.7615807056e+00,    4.2129690552e+02,
    3.1122028828e+00,    4.2459283447e+02,
    3.3751697540e+00,    4.2780889893e+02,
    3.6294188499e+00,    4.3137164307e+02,
    3.9151921272e+00,    4.3581307983e+02,
    4.2118225098e+00,    4.4074749756e+02,
    4.5575342178e+00,    4.4681454468e+02,
    4.8421454430e+00,    4.5202630615e+02,
    5.1266078949e+00,    4.5741851807e+02,
    5.4225611687e+00,    4.6322506714e+02,
    5.7028441429e+00,    4.6892233276e+02,
    6.0496373177e+00,    4.7626730347e+02,
    6.3330760002e+00,    4.8255358887e+02,
    6.6267733574e+00,    4.8938610840e+02,
    6.9064431190e+00,    4.9626171875e+02,
    7.2544479370e+00,    5.0543716431e+02,
    7.5378379822e+00,    5.1357501221e+02,
    7.8253154755e+00,    5.2262432861e+02,
    8.1100540161e+00,    5.3263623047e+02,
    8.4010372162e+00,    5.4427807617e+02,
    8.7369441986e+00,    5.6027960205e+02,
    9.0255231857e+00,    5.7674835205e+02,
    9.3103847504e+00,    5.9570214844e+02,
    9.6538028717e+00,    6.1901812744e+02,
    9.9368944168e+00,    6.3306762695e+02,
    1.0227878571e+01,    6.3699798584e+02,
    1.0507463455e+01,    6.3137347412e+02,
    1.0848451614e+01,    6.1908843994e+02,
    1.1131593704e+01,    6.0956555176e+02,
    1.1412544250e+01,    6.0243457031e+02,
    1.1703907013e+01,    5.9741363525e+02,
    1.2037102699e+01,    5.9385577393e+02,
    1.2322770119e+01,    5.9220697021e+02,
    1.2600975990e+01,    5.9149523926e+02,
    1.2941006660e+01,    5.9152868652e+02,
    1.3219491959e+01,    5.9211541748e+02,
    1.3503070831e+01,    5.9310992432e+02,
    1.3836776733e+01,    5.9468756104e+02,
    1.4121948242e+01,    5.9631616211e+02,
    1.4453239441e+01,    5.9846954346e+02,
    1.4740082741e+01,    6.0052288818e+02,
    1.5012780190e+01,    6.0261328125e+02,
    1.5355114937e+01,    6.0540191650e+02,
    1.5625487328e+01,    6.0771655273e+02,
    1.5910498619e+01,    6.1025329590e+02,
    1.6236629486e+01,    6.1326434326e+02,
    1.6520956039e+01,    6.1597723389e+02,
    1.6845104218e+01,    6.1916168213e+02,
    1.7126380920e+01,    6.2199981689e+02,
    1.7400846481e+01,    6.2483319092e+02,
    1.7727287292e+01,    6.2828198242e+02,
    1.8005495071e+01,    6.3128735352e+02,
    1.8346330643e+01,    6.3475158691e+02,
    1.8683166504e+01,    6.3693914795e+02,
    1.9010490417e+01,    6.3782531738e+02,
    1.9529260635e+01,    6.3922973633e+02,
    2.0351457596e+01,    6.3959246826e+02,
    2.1654552460e+01,    6.4585192871e+02,
    2.3273340225e+01,    6.5362780762e+02,
    2.4892127991e+01,    6.7050939941e+02,
    2.5701520920e+01,    6.7895019531e+02,
    2.6510915756e+01,    6.9201525879e+02,
    2.6915613174e+01,    6.9854779053e+02,
    2.7320308685e+01,    7.0731359863e+02,
    2.7623832703e+01,    7.1464282227e+02,
    2.7953226089e+01,    7.2363970947e+02,
    2.8224784851e+01,    7.3119024658e+02,
    2.8503154755e+01,    7.3935516357e+02,
    2.8823930740e+01,    7.4961639404e+02,
    2.9149473190e+01,    7.6121069336e+02,
    2.9418277740e+01,    7.7191302490e+02,
    2.9737026215e+01,    7.8589654541e+02,
    3.0038806915e+01,    8.0026330566e+02,
    3.0352970123e+01,    8.1414776611e+02,
    3.0600742340e+01,    8.2317266846e+02,
    3.0947904587e+01,    8.2897857666e+02,
    3.1237613678e+01,    8.2842767334e+02,
    3.1539802551e+01,    8.2420678711e+02,
    3.1839223862e+01,    8.1922637939e+02,
    3.2142246246e+01,    8.1471173096e+02,
    3.2443786621e+01,    8.1137701416e+02,
    3.2736640930e+01,    8.0918005371e+02,
    3.3020370483e+01,    8.0790942383e+02,
    3.3314861298e+01,    8.0735266113e+02,
    3.3619606018e+01,    8.0740734863e+02,
    3.3918945312e+01,    8.0792730713e+02,
    3.4231357574e+01,    8.0887585449e+02,
    3.4516559601e+01,    8.1004516602e+02,
    3.4821125031e+01,    8.1156896973e+02,
    3.5129646301e+01,    8.1334228516e+02,
    3.5449253082e+01,    8.1538311768e+02,
    3.5710407257e+01,    8.1718518066e+02,
    3.6028850555e+01,    8.1952172852e+02,
    3.6310150146e+01,    8.2170208740e+02,
    3.6624206543e+01,    8.2424957275e+02,
    3.6960002899e+01,    8.2709851074e+02,
    3.7245407104e+01,    8.2960095215e+02,
    3.7521167755e+01,    8.3209747314e+02,
    3.7823146820e+01,    8.3492120361e+02,
    3.8114364624e+01,    8.3772082520e+02,
    3.8406764984e+01,    8.4058032227e+02,
    3.8717231750e+01,    8.4368530273e+02,
    3.9021522522e+01,    8.4678833008e+02,
    3.9381317139e+01,    8.4963653564e+02,
    3.9600875854e+01,    8.5094940186e+02,
    3.9948844910e+01,    8.5191888428e+02,
    4.0500343323e+01,    8.5236474609e+02,
    4.1374412537e+01,    8.5307135010e+02,
    4.2759712219e+01,    8.5678875732e+02,
    4.4164867401e+01,    8.6055944824e+02,
    4.5570022583e+01,    8.7272644043e+02,
    4.6272602081e+01,    8.8127996826e+02,
    4.6623889923e+01,    8.8555670166e+02,
    4.6975177765e+01,    8.9094757080e+02,
    4.7150821686e+01,    8.9388238525e+02,
    4.7412643433e+01,    8.9849957275e+02,
    4.7713085175e+01,    9.0427520752e+02,
    4.8015380859e+01,    9.1033630371e+02,
    4.8306434631e+01,    9.1636968994e+02,
    4.8650928497e+01,    9.2379840088e+02,
    4.8933628082e+01,    9.3017608643e+02,
    4.9214183807e+01,    9.3686297607e+02,
    4.9549213409e+01,    9.4530743408e+02,
    4.9829998016e+01,    9.5287603760e+02,
    5.0166362762e+01,    9.6253887939e+02,
    5.0445968628e+01,    9.7100695801e+02,
    5.0715991974e+01,    9.7920617676e+02,
    5.1020954132e+01,    9.8856677246e+02,
    5.1370010376e+01,    9.9816290283e+02,
    5.1623813629e+01,    1.0046684570e+03,
    5.1953453064e+01,    1.0092647705e+03,
    5.2242446899e+01,    1.0120564575e+03,
    5.2515438080e+01,    1.0125872192e+03,
    5.2807044983e+01,    1.0122073364e+03,
    5.3179962158e+01,    1.0114512939e+03,
    5.3402301788e+01,    1.0108360596e+03,
    5.3756340027e+01,    1.0102011719e+03,
    5.4069755554e+01,    1.0099653320e+03,
    5.4352424622e+01,    1.0101148071e+03,
    5.4678176880e+01,    1.0106718140e+03,
    5.4950267792e+01,    1.0113800049e+03,
    5.5200145721e+01,    1.0121454468e+03,
    5.5546649933e+01,    1.0136353760e+03,
    5.5833724976e+01,    1.0149041748e+03,
    5.6141628265e+01,    1.0165117798e+03,
    5.6455223083e+01,    1.0183078003e+03,
    5.6704570770e+01,    1.0198226318e+03,
    5.7091659546e+01,    1.0223560181e+03,
    5.7341880798e+01,    1.0240678711e+03,
    5.7601184845e+01,    1.0259257812e+03,
