Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    6.7314996338e+02,
    1.0999999046e+00,    6.7921978760e+02,
    2.0000000000e+00,    6.9088854980e+02,
    3.0000000000e+00,    7.0607232666e+02,
    4.0000000000e+00,    7.2227075195e+02,
    5.0999999046e+00,    7.4094689941e+02,
    6.0999999046e+00,    7.5878570557e+02,
    7.0999999046e+00,    7.7769439697e+02,
    8.0999994278e+00,    7.9819134521e+02,
    9.0999994278e+00,    8.2109777832e+02,
    1.0099999428e+01,    8.4789428711e+02,
    1.1099999428e+01,    8.8016265869e+02,
    1.2099999428e+01,    9.1358923340e+02,
    1.3099999428e+01,    9.3177416992e+02,
    1.4099999428e+01,    9.2823144531e+02,
    1.5099999428e+01,    9.2291406250e+02,
    1.6099998474e+01,    9.2268457031e+02,
    1.7099998474e+01,    9.2676177979e+02,
    1.8099998474e+01,    9.3264080811e+02,
    1.9000000000e+01,    9.3910174561e+02,
    2.0000000000e+01,    9.4736437988e+02,
    2.1000000000e+01,    9.5634820557e+02,
    2.2000000000e+01,    9.6578338623e+02,
    2.3000000000e+01,    9.7560937500e+02,
    2.4000000000e+01,    9.8576324463e+02,
    2.5000000000e+01,    9.9297430420e+02,
    2.6000000000e+01,    9.9451519775e+02,
    2.7000000000e+01,    9.9434497070e+02,
    2.8000000000e+01,    9.9370825195e+02,
    2.9000000000e+01,    9.9294250488e+02,
    3.0000000000e+01,    9.9213964844e+02,
    3.1000000000e+01,    9.9132562256e+02,
    3.2000000000e+01,    9.9050848389e+02,
    3.3000000000e+01,    9.8969085693e+02,
    3.4000000000e+01,    9.8887371826e+02,
    3.5000000000e+01,    9.8805749512e+02,
    3.6000000000e+01,    9.8724230957e+02,
    3.7000000000e+01,    9.8642822266e+02,
    3.8000000000e+01,    9.8561529541e+02,
    3.9000000000e+01,    9.8480364990e+02,
    4.0000000000e+01,    9.8399310303e+02,
    4.1000000000e+01,    9.8318383789e+02,
    4.2000000000e+01,    9.8237573242e+02,
    4.3000000000e+01,    9.8156884766e+02,
