Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    6.7314996338e+02,
    5.3462123871e-01,    6.7437811279e+02,
    1.0346212387e+00,    6.7866412354e+02,
    1.5346212387e+00,    6.8482031250e+02,
    2.0346212387e+00,    6.9197412109e+02,
    2.5346212387e+00,    6.9967541504e+02,
    3.0346212387e+00,    7.0771563721e+02,
    3.5346212387e+00,    7.1600524902e+02,
    4.0346212387e+00,    7.2451031494e+02,
    4.5346212387e+00,    7.3322698975e+02,
    5.0346212387e+00,    7.4217163086e+02,
    5.5346212387e+00,    7.5136560059e+02,
    6.0346212387e+00,    7.6085021973e+02,
    6.5346212387e+00,    7.7068701172e+02,
    7.0346212387e+00,    7.8092999268e+02,
    7.5346212387e+00,    7.9172875977e+02,
    8.0346212387e+00,    8.0317071533e+02,
    8.5346212387e+00,    8.1537988281e+02,
    9.0346212387e+00,    8.2880639648e+02,
    9.5346212387e+00,    8.4355145264e+02,
    1.0034621239e+01,    8.5966461182e+02,
    1.0534621239e+01,    8.7808447266e+02,
    1.1034621239e+01,    8.9752630615e+02,
    1.1534621239e+01,    9.1378796387e+02,
    1.2034621239e+01,    9.2898724365e+02,
    1.2534621239e+01,    9.3082263184e+02,
    1.3034621239e+01,    9.2918798828e+02,
    1.3534621239e+01,    9.2462542725e+02,
    1.4034621239e+01,    9.2056951904e+02,
    1.4534621239e+01,    9.1865515137e+02,
    1.5034621239e+01,    9.1757299805e+02,
    1.5534621239e+01,    9.1843713379e+02,
    1.6034620285e+01,    9.1981420898e+02,
    1.6534620285e+01,    9.2224884033e+02,
    1.7034620285e+01,    9.2513153076e+02,
    1.7534620285e+01,    9.2857598877e+02,
    1.8034620285e+01,    9.3232702637e+02,
    1.8534620285e+01,    9.3641149902e+02,
    1.9034620285e+01,    9.4072393799e+02,
    1.9534620285e+01,    9.4518530273e+02,
    2.0034620285e+01,    9.4981903076e+02,
    2.0534620285e+01,    9.5457965088e+02,
    2.1034620285e+01,    9.5947662354e+02,
    2.1534620285e+01,    9.6447479248e+02,
    2.2034620285e+01,    9.6957604980e+02,
    2.2534620285e+01,    9.7476666260e+02,
    2.3034620285e+01,    9.8004156494e+02,
    2.3534620285e+01,    9.8538964844e+02,
    2.4034620285e+01,    9.9079266357e+02,
    2.4528640747e+01,    9.9580017090e+02,
    2.5028640747e+01,    9.9931365967e+02,
    2.5528640747e+01,    1.0010924683e+03,
    2.6028640747e+01,    1.0018364258e+03,
    2.6528640747e+01,    1.0020235596e+03,
    2.7028640747e+01,    1.0019204712e+03,
    2.7528640747e+01,    1.0016672363e+03,
    2.8028640747e+01,    1.0013360596e+03,
    2.8528640747e+01,    1.0009641724e+03,
    2.9028640747e+01,    1.0005706787e+03,
    2.9528640747e+01,    1.0001657715e+03,
    3.0000000000e+01,    9.9977825928e+02,
