Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    6.7314996338e+02,
    5.0000000000e-01,    6.7421081543e+02,
    9.9999994040e-01,    6.7820086670e+02,
    1.5000000000e+00,    6.8402850342e+02,
    2.0000000000e+00,    6.9077886963e+02,
    2.5000000000e+00,    6.9797357178e+02,
    3.0000000000e+00,    7.0538238525e+02,
    3.5000000000e+00,    7.1289501953e+02,
    4.0000000000e+00,    7.2046014404e+02,
    4.5000000000e+00,    7.2805688477e+02,
    4.9999995232e+00,    7.3568066406e+02,
    5.4999995232e+00,    7.4333679199e+02,
    5.9999995232e+00,    7.5103808594e+02,
    6.4999995232e+00,    7.5880505371e+02,
    6.9999995232e+00,    7.6666699219e+02,
    7.4999995232e+00,    7.7466375732e+02,
    7.9999995232e+00,    7.8284948730e+02,
    8.4999990463e+00,    7.9129864502e+02,
    8.9999990463e+00,    8.0010919189e+02,
    9.4999990463e+00,    8.0940502930e+02,
    9.9999990463e+00,    8.1932617188e+02,
    1.0499999046e+01,    8.2998626709e+02,
    1.0999999046e+01,    8.4132879639e+02,
    1.1499999046e+01,    8.5277545166e+02,
    1.1999999046e+01,    8.6278125000e+02,
    1.2499999046e+01,    8.6915362549e+02,
    1.2999999046e+01,    8.7076361084e+02,
    1.3499999046e+01,    8.6878198242e+02,
    1.3999999046e+01,    8.6550720215e+02,
    1.4499999046e+01,    8.6256939697e+02,
    1.4999999046e+01,    8.6055041504e+02,
    1.5499999046e+01,    8.5946435547e+02,
    1.5999999046e+01,    8.5915008545e+02,
    1.6499998093e+01,    8.5943060303e+02,
    1.6999998093e+01,    8.6015673828e+02,
    1.7499998093e+01,    8.6121240234e+02,
    1.7999998093e+01,    8.6250939941e+02,
    1.8499998093e+01,    8.6398138428e+02,
    1.9000000000e+01,    8.6557812500e+02,
    1.9500000000e+01,    8.6726092529e+02,
    2.0000000000e+01,    8.6899969482e+02,
    2.0500000000e+01,    8.7077020264e+02,
    2.1000000000e+01,    8.7255401611e+02,
    2.1500000000e+01,    8.7433666992e+02,
    2.2000000000e+01,    8.7610693359e+02,
    2.2500000000e+01,    8.7785577393e+02,
    2.3000000000e+01,    8.7957568359e+02,
    2.3500000000e+01,    8.8126043701e+02,
    2.4000000000e+01,    8.8290472412e+02,
    2.4500000000e+01,    8.8410705566e+02,
    2.5000000000e+01,    8.8457318115e+02,
    2.5500000000e+01,    8.8464758301e+02,
    2.6000000000e+01,    8.8452032471e+02,
    2.6500000000e+01,    8.8429107666e+02,
    2.7000000000e+01,    8.8401062012e+02,
    2.7500000000e+01,    8.8370446777e+02,
    2.8000000000e+01,    8.8338531494e+02,
    2.8500000000e+01,    8.8305944824e+02,
    2.9000000000e+01,    8.8273022461e+02,
    2.9500000000e+01,    8.8239929199e+02,
    3.0000000000e+01,    8.8206744385e+02,
