Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    2.9314999390e+02,
    4.2946070433e-01,    4.5634506226e+02,
    6.7222380638e-01,    5.4859503174e+02,
    9.2518436909e-01,    6.4472003174e+02,
    1.5922398567e+00,    6.7074768066e+02,
    2.2404551506e+00,    6.7451153564e+02,
    2.7565736771e+00,    6.7750830078e+02,
    3.2726919651e+00,    6.8233532715e+02,
    3.5307512283e+00,    6.8530163574e+02,
    3.6597807407e+00,    6.8692053223e+02,
    3.9464759827e+00,    6.9086749268e+02,
    4.2190909386e+00,    6.9505169678e+02,
    4.5414710045e+00,    7.0031707764e+02,
    4.8186450005e+00,    7.0506726074e+02,
    5.1379170418e+00,    7.1077453613e+02,
    5.4065694809e+00,    7.1577197266e+02,
    5.7280998230e+00,    7.2199707031e+02,
    6.0442056656e+00,    7.2840179443e+02,
    6.3374476433e+00,    7.3464044189e+02,
    6.6440463066e+00,    7.4151086426e+02,
    6.9376401901e+00,    7.4848370361e+02,
    7.2432384491e+00,    7.5624310303e+02,
    7.5421466827e+00,    7.6451171875e+02,
    7.8471946716e+00,    7.7379913330e+02,
    8.1499595642e+00,    7.8415435791e+02,
    8.4030504227e+00,    7.9405010986e+02,
    8.7082166672e+00,    8.0779046631e+02,
    9.0086822510e+00,    8.2415869141e+02,
    9.3490247726e+00,    8.4631024170e+02,
    9.6428461075e+00,    8.6697528076e+02,
    9.9085187912e+00,    8.8284564209e+02,
    1.0201702118e+01,    8.9169873047e+02,
    1.0560340881e+01,    8.8723376465e+02,
    1.0802208900e+01,    8.7829943848e+02,
    1.1146817207e+01,    8.6506890869e+02,
    1.1409357071e+01,    8.5695281982e+02,
    1.1707211494e+01,    8.5040045166e+02,
    1.2002986908e+01,    8.4588214111e+02,
    1.2304601669e+01,    8.4310461426e+02,
    1.2643224716e+01,    8.4137713623e+02,
    1.2955682755e+01,    8.4082379150e+02,
    1.3202912331e+01,    8.4082763672e+02,
    1.3513440132e+01,    8.4134570312e+02,
    1.3807066917e+01,    8.4225152588e+02,
    1.4123655319e+01,    8.4358648682e+02,
    1.4411453247e+01,    8.4503204346e+02,
    1.4742629051e+01,    8.4693939209e+02,
    1.5033742905e+01,    8.4879437256e+02,
    1.5340938568e+01,    8.5099096680e+02,
    1.5629404068e+01,    8.5316882324e+02,
    1.5906154633e+01,    8.5534008789e+02,
    1.6237071991e+01,    8.5802819824e+02,
    1.6502811432e+01,    8.6030450439e+02,
    1.6801347733e+01,    8.6294873047e+02,
    1.7147064209e+01,    8.6609661865e+02,
    1.7404584885e+01,    8.6849920654e+02,
    1.7750106812e+01,    8.7179943848e+02,
    1.8023651123e+01,    8.7445977783e+02,
    1.8306276321e+01,    8.7717456055e+02,
    1.8703714371e+01,    8.7973529053e+02,
    1.9014152527e+01,    8.8058337402e+02,
    1.9506164551e+01,    8.8101300049e+02,
    2.0285949707e+01,    8.8169396973e+02,
    2.1521825790e+01,    8.8318408203e+02,
    2.2775415421e+01,    8.8469555664e+02,
    2.4029003143e+01,    8.9321636963e+02,
    2.4655797958e+01,    8.9958905029e+02,
    2.4969194412e+01,    9.0277545166e+02,
    2.5282592773e+01,    9.0690802002e+02,
    2.5517639160e+01,    9.1028881836e+02,
    2.5833492279e+01,    9.1534106445e+02,
    2.6168258667e+01,    9.2113238525e+02,
    2.6427722931e+01,    9.2586517334e+02,
    2.6741662979e+01,    9.3187396240e+02,
    2.7016225815e+01,    9.3736163330e+02,
    2.7355522156e+01,    9.4448791504e+02,
    2.7626344681e+01,    9.5046417236e+02,
    2.7942863464e+01,    9.5791210938e+02,
    2.8237636566e+01,    9.6530346680e+02,
    2.8528871536e+01,    9.7340222168e+02,
    2.8813915253e+01,    9.8211511230e+02,
    2.9107307434e+01,    9.9173181152e+02,
    2.9482477188e+01,    1.0055260620e+03,
    2.9772249222e+01,    1.0182021484e+03,
    3.0082796097e+01,    1.0324407959e+03,
    3.0316276550e+01,    1.0430653076e+03,
    3.0675703049e+01,    1.0577126465e+03,
    3.0959146500e+01,    1.0643577881e+03,
    3.1265684128e+01,    1.0674095459e+03,
    3.1551700592e+01,    1.0637097168e+03,
    3.1854038239e+01,    1.0584681396e+03,
    3.2178661346e+01,    1.0534597168e+03,
    3.2461978912e+01,    1.0487369385e+03,
    3.2706260681e+01,    1.0461983643e+03,
    3.3021686554e+01,    1.0441892090e+03,
    3.3324607849e+01,    1.0424887695e+03,
    3.3635765076e+01,    1.0418404541e+03,
    3.3937301636e+01,    1.0414515381e+03,
    3.4252513885e+01,    1.0417459717e+03,
    3.4546405792e+01,    1.0423519287e+03,
    3.4809543610e+01,    1.0430906982e+03,
    3.5154388428e+01,    1.0444870605e+03,
    3.5420341492e+01,    1.0456481934e+03,
    3.5753273010e+01,    1.0473957520e+03,
    3.6002944946e+01,    1.0488365479e+03,
    3.6352252960e+01,    1.0509688721e+03,
    3.6605548859e+01,    1.0526250000e+03,
    3.6954151154e+01,    1.0550000000e+03,
    3.7219928741e+01,    1.0568929443e+03,
    3.7502723694e+01,    1.0589700928e+03,
    3.7856575012e+01,    1.0616745605e+03,
    3.8102809906e+01,    1.0636076660e+03,
    3.8478359222e+01,    1.0666369629e+03,
    3.8712478638e+01,    1.0685598145e+03,
    3.9051067352e+01,    1.0713977051e+03,
    3.9354187012e+01,    1.0739489746e+03,
    3.9752700806e+01,    1.0768613281e+03,
    4.0098167419e+01,    1.0786887207e+03,
    4.0422058105e+01,    1.0798961182e+03,
    4.0850978851e+01,    1.0807951660e+03,
    4.1530773163e+01,    1.0810570068e+03,
    4.2608169556e+01,    1.0803890381e+03,
    4.4315731049e+01,    1.0938690186e+03,
    4.6031414032e+01,    1.1074132080e+03,
    4.7747093201e+01,    1.1304804688e+03,
    4.8604934692e+01,    1.1420141602e+03,
    4.9462776184e+01,    1.1600860596e+03,
    4.9891696930e+01,    1.1701254883e+03,
    5.0106155396e+01,    1.1751047363e+03,
    5.0458976746e+01,    1.1825849609e+03,
    5.0728210449e+01,    1.1883380127e+03,
    5.1080467224e+01,    1.1959750977e+03,
    5.1350322723e+01,    1.2019631348e+03,
    5.1674720764e+01,    1.2079802246e+03,
    5.1932754517e+01,    1.2121259766e+03,
    5.2204486847e+01,    1.2158922119e+03,
    5.2562732697e+01,    1.2196820068e+03,
    5.2846267700e+01,    1.2214484863e+03,
    5.3128990173e+01,    1.2228453369e+03,
    5.3435573578e+01,    1.2240329590e+03,
    5.3771965027e+01,    1.2247448730e+03,
    5.4043033600e+01,    1.2251151123e+03,
    5.4393886566e+01,    1.2251247559e+03,
    5.4682647705e+01,    1.2247679443e+03,
    5.4966796875e+01,    1.2246557617e+03,
    5.5211654663e+01,    1.2249282227e+03,
    5.5578323364e+01,    1.2252574463e+03,
    5.5851070404e+01,    1.2255981445e+03,
    5.6164810181e+01,    1.2264940186e+03,
    5.6425231934e+01,    1.2271413574e+03,
    5.6707004547e+01,    1.2278366699e+03,
    5.7075431824e+01,    1.2291291504e+03,
    5.7343368530e+01,    1.2301169434e+03,
    5.7622550964e+01,    1.2313208008e+03,
    5.8001266479e+01,    1.2329814453e+03,
    5.8230804443e+01,    1.2340657959e+03,
