Nodal History,Temperature
Time,A3010,
    0.0000000000e+00,    2.9314999390e+02,
    5.0000000000e+00,    6.7786755371e+02,
    1.0000000000e+01,    7.2303924561e+02,
    1.5000000000e+01,    8.0630963135e+02,
    2.0000000000e+01,    8.3531036377e+02,
    2.5000000000e+01,    8.4775115967e+02,
    3.0000000000e+01,    8.7988006592e+02,
    3.5000000000e+01,    8.8289892578e+02,
    4.0000000000e+01,    8.7817712402e+02,
    4.5000000000e+01,    8.7338842773e+02,
    5.0000000000e+01,    8.6863421631e+02,
    5.5000000000e+01,    7.3992047119e+02,
    6.0000000000e+01,    5.2463946533e+02,
    6.5000000000e+01,    3.7442977905e+02,
    7.0000000000e+01,    3.1295571899e+02,
    7.5000000000e+01,    2.9662036133e+02,
    8.0000000000e+01,    2.9360110474e+02,
    8.5000000000e+01,    2.9319451904e+02,
    9.0000000000e+01,    2.9315338135e+02,
    9.5000000000e+01,    2.9315017700e+02,
    1.0000000000e+02,    2.9314999390e+02,
    1.0500000000e+02,    2.9314999390e+02,
    1.1000000000e+02,    2.9314999390e+02,
    1.1500000000e+02,    2.9314999390e+02,
    1.2000000000e+02,    2.9314999390e+02,
    1.2500000000e+02,    2.9314999390e+02,
    1.3000000000e+02,    2.9314999390e+02,
